附件14,,,,,,,,,,,,
中国电信移动网170H汇总表(截至2018年第四批.此表仅用于终端配置使用，不作为网络、IT相关配置依据),,,,,,,,,,,,
省份,城市,城市区号,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709
陕西,商洛,914,,,,,,,,,,
陕西,渭南,913,,,,,,,,,,
陕西,安康,915,,,,,,,,,,
陕西,汉中,916,,,,,,,,,,
陕西,宝鸡,917,,,916-917,,,,,,,
陕西,铜川,919,,,,,,,,,,
陕西,咸阳,29,,,,,,,,,,
云南,昆明,871,870-879,900-906,840-849、860-879,,,,,,,
云南,版纳,691,,,,,,,,,,
云南,迪庆,887,,,,,,,,,,
云南,大理,872,,,,,,,,,,
云南,曲靖,874,,,,,,,,,,
云南,文山,876,,,,,,,,,,
云南,楚雄,878,,,,,,,,,,
云南,丽江,888,,,,,,,,,,
云南,临沧,883,,,,,,,,,,
云南,昭通,870,,,,,,,,,,
云南,普洱,879,,,,,,,,,,
云南,玉溪,877,,,,,,,,,,
云南,保山,875,,,,,,,,,,
云南,红河,873,,,,,,,,,,
云南,怒江,886,,,,,,,,,,
云南,德宏,692,,,,,,,,,,
安徽,合肥,551,130、340、550-552、554-559、569、960-964,550-565,550-565,,,,,,,
安徽,池州,566,,,,,,,,,,
安徽,亳州,558,,264-265,,,,,,,,
安徽,阜阳,558,,262-263,,,,,,,,
安徽,宿州,557,,260-261,,,,,,,,
安徽,安庆,556,,940-941,,,,,,,,
安徽,马鞍山,555,,266-267,,,,,,,,
安徽,淮南,554,,,,,,,,,,
安徽,芜湖,553,553,566-569、942-943,566-569,,,,,,,
安徽,蚌埠,552,,,,,,,,,,
安徽,滁州,550,,,,,,,,,,
安徽,巢湖,565,,,,,,,,,,
安徽,六安,564,,,,,,,,,,
安徽,宣城,563,,268-269,,,,,,,,
安徽,铜陵,562,,,,,,,,,,
安徽,淮北,561,,,,,,,,,,
安徽,黄山,559,,,,,,,,,,
广西,南宁,771,770-774,290-297,770-779,,,,,,,
广西,防城港,770,,,,,,,,,,
广西,河池,778,,,,,,,,,,
广西,钦州,777,,,,,,,,,,
广西,百色,776,,,,,,,,,,
广西,玉林,775,,,,,,,,,,
广西,梧州,774,,,,,,,,,,
广西,桂林,773,034-035,298-299,,,,,,,,
广西,柳州,772,,,,,,,,,,
广西,贺州,774,,,,,,,,,,
广西,北海,779,,,,,,,,,,
广西,贵港,775,,,,,,,,,,
广西,崇左,771,,,,,,,,,,
广西,来宾,772,,,,,,,,,,
新疆,乌鲁木齐,991,990-991,960-965,,,,,,,,
新疆,奎屯,992,,,,,,,,,,
新疆,石河子,993,,,,,,,,,,
新疆,昌吉,994,,,,,,,,,,
新疆,吐鲁番,995,,,,,,,,,,
新疆,库尔勒,996,,,,,,,,,,
新疆,阿克苏,997,,,,,,,,,,
新疆,喀什,998,,,,,,,,,,
新疆,克拉玛依,990,,,,,,,,,,
新疆,塔城,901,,,,,,,,,,
新疆,伊犁,999,,,,,,,,,,
新疆,克州,908,,,,,,,,,,
新疆,巴州,996,,,,,,,,,,
新疆,哈密,902,,,,,,,,,,
新疆,和田,903,,,,,,,,,,
新疆,阿勒泰,906,,,,,,,,,,
新疆,博乐,909,,,,,,,,,,
重庆,重庆,23,137、230-239、343、800-806、947-949,500-509,300-309、510-519,,,,,,,
江西,南昌,791,702-709、791、798-799,680-689,790-795,,,,,,,
江西,九江,792,790、792-794,695-699,798-799,,,,,,,
江西,抚州,794,,070-071,,,,,,,,
江西,赣州,797,795-797,690-694,796-797,,,,,,,
江西,吉安,796,,,,,,,,,,
江西,宜春,795,,,,,,,,,,
江西,上饶,793,,,,,,,,,,
江西,景德镇,798,,,,,,,,,,
江西,鹰潭,701,,,,,,,,,,
江西,新余,790,,,,,,,,,,
江西,萍乡,799,,,,,,,,,,
甘肃,兰州,931,930-934,930-935,930-939,,,,,,,
甘肃,庆阳,934,,,,,,,,,,
甘肃,陇南,939,,,,,,,,,,
甘肃,酒泉,937,,,,,,,,,,
甘肃,金昌,935,,,,,,,,,,
甘肃,嘉峪关,937,,,,,,,,,,
甘肃,定西,932,,,,,,,,,,
甘肃,平凉,933,,,,,,,,,,
甘肃,武威,935,,,,,,,,,,
甘肃,张掖,936,,938-939,,,,,,,,
甘肃,天水,938,,936-937,,,,,,,,
甘肃,临夏,930,,,,,,,,,,
甘肃,甘南,941,,,,,,,,,,
甘肃,白银,943,,,,,,,,,,
贵州,黔东南,855,855,870-872,,,,,,,,
贵州,兴义,859,,,,,,,,,,
贵州,六盘水,858,858,863-865,,,,,,,,
贵州,毕节,857,857,860-862,,,,,,,,
贵州,铜仁,856,856,866-869,,,,,,,,
贵州,凯里,855,,,,,,,,,,
贵州,都匀,854,,,,,,,,,,
贵州,安顺,851,853,857-859,,,,,,,,
贵州,遵义,851,852,876-879,,,,,,,,
贵州,贵阳,851,820-822、840-841、850-851,848-856,850-859,,,,,,,
贵州,黔南,854,854,873-875,,,,,,,,
贵州,黔西南,859,859,880-882,,,,,,,,
海南,海口,898,136、342、898-899,894-899,880-899,,,,,,,
海南,三亚,898,,,,,,,,,,
海南,儋州,898,,,,,,,,,,
宁夏,银川,951,950-951,950-953,950-953,,,,,,,
宁夏,石嘴山,952,,,,,,,,,,
宁夏,吴忠,953,,,,,,,,,,
宁夏,固原,954,,,,,,,,,,
宁夏,中卫,955,,,,,,,,,,
青海,西宁,971,970-971,970-973,970-973,,,,,,,
青海,海东,972,,,,,,,,,,
青海,黄南,973,,,,,,,,,,
青海,海西,977,,,,,,,,,,
青海,海南,974,,,,,,,,,,
青海,海北,970,,,,,,,,,,
青海,果洛,975,,,,,,,,,,
青海,玉树,976,,,,,,,,,,
青海,格尔木,979,,,,,,,,,,
西藏,阿里,897,,,,,,,,,,
西藏,那曲,896,,,,,,,,,,
西藏,昌都,895,,,,,,,,,,
西藏,林芝,894,,,,,,,,,,
西藏,山南,893,,,,,,,,,,
西藏,日喀则,892,,,,,,,,,,
西藏,拉萨,891,,,,,,,,,,
北京,北京,10,000-004、010-013、041、070-077、080-129、186-189、465-469、493-495、890-891,000-039、046-049、060-069、072-079、966-969,010-039、954-969、974-999,,,,,,,
天津,天津,22,047-069、134-135、220-229、345-347、903-909、984-989,270-279、514-515、645-649、954-959、974-979,050-069、200-209,,,,,,,
山东,济南,531,531、541-542、637、658、662、724、916-924,100-109、914-919,140-145、520-539,,,,,,,
山东,青岛,532,030-033、043-046、078-079、532、540、547-549、630、638-640、659-661、892-894、927-929,050-055、110-119、288-289,146-167,,,,,,,
山东,淄博,533,533-534、727,146-147、160-163,168,,,,,,,
山东,烟台,535,535、543-544、636、656-657、663-664、725-726,164-169、308-309,130-139、789,,,,,,,
山东,济宁,537,387、389、537-538、665,123-126、142-143、893,,,,,,,,
山东,临沂,539,539、667、728-729,130-134、890-892,122-126,,,,,,,
山东,东营,546,,,,,,,,,,
山东,枣庄,632,,,,,,,,,,
山东,聊城,635,635、666、980-982,056、127-129、144-145,,,,,,,,
山东,莱芜,634,,,,,,,,,,
山东,日照,633,633-634,148-153,169,,,,,,,
山东,威海,631,545、631-632,135-139,127-129、170-174,,,,,,,
山东,滨州,543,,,,,,,,,,
山东,泰安,538,,,,,,,,,,
山东,潍坊,536,536、546、655、925-926、983,154-159、258-259,175-179,,,,,,,
山东,德州,534,,,,,,,,,,
山东,菏泽,530,040、530、867-869,057-059、120-122、140-141,120-121,,,,,,,
河南,郑州,371,370-375、384-385、390-395、397、399,367-379、907-909,188-189、199、370-391、678-679,,,,,,,
河南,新乡,373,,302-303,194-196,,,,,,,
河南,平顶山,375,,306-307,183-184,,,,,,,
河南,南阳,377,377,304-305、390-392,,,,,,,,
河南,洛阳,379,379-382,362-366,392-399,,,,,,,
河南,焦作,391,,360-361,,,,,,,,
河南,濮阳,393,,,,,,,,,,
河南,三门峡,398,398,397-399,190-191,,,,,,,
河南,驻马店,396,396,393-396,197-198,,,,,,,
河南,漯河,395,,,,,,,,,,
河南,周口,394,386,300-301,185-187,,,,,,,
河南,鹤壁,392,,,,,,,,,,
河南,商丘,370,,,,,,,,,,
河南,开封,371,378,380-383,180-182,,,,,,,
河南,信阳,376,376、383,384-387,192-193,,,,,,,
河南,许昌,374,,388-389,,,,,,,,
河南,安阳,372,,,,,,,,,,
辽宁,沈阳,24,240-249、414-419,400-410,400-410、480-486、766-769、788,,,,,,,
辽宁,铁岭,24,,,,,,,,,,
辽宁,鞍山,412,412-413、422、440-445,420-423、492-493,345-349、411-413,,,,,,,
辽宁,本溪,24,,,,,,,,,,
辽宁,锦州,416,,424-425、946-947,340-342、416-417,,,,,,,
辽宁,阜新,418,,,,,,,,,,
辽宁,朝阳,421,,,,,,,,,,
辽宁,葫芦岛,429,,,,,,,,,,
辽宁,盘锦,427,,428-429、498-499、948-949,,,,,,,,
辽宁,辽阳,419,,,,,,,,,,
辽宁,营口,417,,490-491,343-344,,,,,,,
辽宁,丹东,415,,426-427、494-495、944-945,414-415,,,,,,,
辽宁,抚顺,24,,496-497,418-419,,,,,,,
辽宁,大连,411,388、410-411、420-421、423-429、446-449,411-419,487-499,,,,,,,
河北,邯郸,310,310、320-321、339,330-333、346-347,,,,,,,,
河北,保定,312,312-314、322-323、338,094-098、320、348、354-357,325-331,,,,,,,
河北,张家口,313,,324-325,043-045、078-079、366,,,,,,,
河北,承德,314,,338-339、344-345,360-361,,,,,,,
河北,唐山,315,315-318、324、336-337,349-353,320-324,,,,,,,
河北,廊坊,316,860-863,328-329,040-042、072-073、364-365,,,,,,,
河北,沧州,317,,321-323、342-343、358-359,,,,,,,,
河北,衡水,318,,318-319,070-071,,,,,,,
河北,邢台,319,319,334-337,046-048、076-077、367,,,,,,,
河北,秦皇岛,335,,326-327,074-075、362-363,,,,,,,
河北,石家庄,311,311、325-335,310-317、340-341,049、276-279、310-319、332-339、368-369,,,,,,,
山西,太原,351,026-029、131、348-351、353-356、643、648-649、900-902,820-828,350-359,,,,,,,
山西,朔州,349,,,,,,,,,,
山西,忻州,350,,,,,,,,,,
山西,大同,352,023-025、036-037、352、645-647,831-834,,,,,,,,
山西,阳泉,353,,,,,,,,,,
山西,长治,355,,829-830,,,,,,,,
山西,晋城,356,,,,,,,,,,
山西,临汾,357,038-039、357-359,835-837,,,,,,,,
山西,运城,359,,838-839,,,,,,,,
山西,晋中,354,,,,,,,,,,
山西,吕梁,358,,,,,,,,,,
内蒙古,呼和浩特,471,470-471、476-479,470-474,470-471、476-479、610-612、920-929,,,,,,,
内蒙古,通辽,475,,482-483、846-847,,,,,,,,
内蒙古,鄂尔多斯,477,,478-479、488-489、842-843,,,,,,,,
内蒙古,阿拉善萌,483,,,,,,,,,,
内蒙古,兴安盟,482,,,,,,,,,,
内蒙古,锡林郭勒,479,,,,,,,,,,
内蒙古,巴彦淖尔,478,,,,,,,,,,
内蒙古,赤峰,476,,484-487、840-841,,,,,,,,
内蒙古,乌兰察布,474,,,,,,,,,,
内蒙古,呼伦贝尔,470,,480-481、844-845,,,,,,,,
内蒙古,包头,472,472-475,475-477,472-475、645-649,,,,,,,
内蒙古,乌海,473,,,,,,,,,,
吉林,长春,431,430-431、433-437、864-866,430-437、445-449,422-439,,,,,,,
吉林,吉林,432,432,438-444,420-421,,,,,,,
吉林,延边,433,,,,,,,,,,
吉林,四平,434,,,,,,,,,,
吉林,通化,435,,,,,,,,,,
吉林,白城,436,,,,,,,,,,
吉林,辽源,437,,,,,,,,,,
吉林,松原,438,,,,,,,,,,
吉林,白山,439,,,,,,,,,,
黑龙江,哈尔滨,451,450-458、460,099、245-248、450-459、883-889,444-469、949,,,,,,,
黑龙江,齐齐哈尔,452,,241-242、465-467,942-945,,,,,,,
黑龙江,牡丹江,453,,,,,,,,,,
黑龙江,佳木斯,454,,,,,,,,,,
黑龙江,绥化,455,,243-244、468-469,946-948,,,,,,,
黑龙江,黑河,456,,,,,,,,,,
黑龙江,大兴安岭,457,,,,,,,,,,
黑龙江,伊春,458,,,,,,,,,,
黑龙江,大庆,459,459,460-464,440-443、940-941,,,,,,,
黑龙江,七台河,464,,,,,,,,,,
黑龙江,鸡西,467,,,,,,,,,,
黑龙江,鹤岗,468,,,,,,,,,,
黑龙江,双鸭山,469,,,,,,,,,,
