附件9,,,,,,,,,,,,
中国电信移动网180H汇总表（截至2018年第四批.此表仅用于终端配置使用，不作为网络、IT相关配置依据）,,,,,,,,,,,,
省份,城市,城市区号,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809
广东,广州,20,220-229,170-199,230-249、285-289、345-349、400-409、450-459、466、620-644、710-749、800-809、850-869、880-889,,,420-429,,880-889,,
广东,惠州,752,099、300-309、752,,482-483、645-669、845-849、997-999,,,,,,880,
广东,汕头,754,754,,320-329、550-564、588-589、950-959,325-327、338,,,,,,
广东,珠海,756,756,,300-309、507-509、993,,,,360-369、380-399,,882,
广东,肇庆,758,758,,360-364、495-497、582、610-619、780-785、980-984,315-316、339,,,,,,
广东,茂名,668,090-093、765,,280-284、395-399、760-761、775-779、948,895-899,,,,,886,
广东,揭阳,663,094-095、764,,250-259、499、600-609、670-674、994-996,,,,,,887,
广东,阳江,662,761,,380-389、500-501、977,330,,,,,,
广东,汕尾,660,767,,315-319、575-579、786-789、946,336,,,,,,
广东,东莞,769,260-299、769,,430-449、460-465、467-479、510-529、590-594、700-709、750-759、820-829、890-919,300-304、333、345-349、820-849,690-699,,,,,820-829
广东,潮州,768,080、096、768,,390-394、570-574、978-979、985-987,328,,,,,881,810-814
广东,云浮,766,766,,335-339、375-379、505-506、949,337,,,,,,
广东,清远,763,763,,330-334、370-374、484-486、502-504、970-976,331,,,,,,
广东,河源,762,762,,310-314、487-489、790-799、988-989,335、850-854,,,,,,
广东,中山,760,760,,200-219、340-344、420-429、480-481、565-569、830-839、990-992,,,,,,884,
广东,江门,750,098、750,,290-299、580-581、675-689、762-764、940-944、960-969,310-314,,,,,889,
广东,湛江,759,097、759,,260-269、498、840-844,334,,,,,,
广东,佛山,757,081-089、757,,220-229、270-279、410-419、490-494、586-587、595-599、767-769、810-819、920-939,320-324、860-889,280-289,,460-469,,883,815-819
广东,深圳,755,250-259、755,870-879,530-549、584-585、690-699、765-766、870-879,305-309、340-344、800-819,,,,,888,890-899
