附件5,,,,,,,,,,,,
中国电信移动网191H码汇总表(截至2018年第四批.此表仅用于终端配置使用，不作为网络、IT相关配置依据),,,,,,,,,,,,
省份,城市,城市区号,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
湖南,娄底,738,738、840,,,,,,,380-389,650-659,
湖南,常德,736,736、742,,,,,,536,360-369、660-664,660-669,
湖南,衡阳,734,734、747,,,,,,531-534,340-349、670-679,,
湖南,湘潭,731,732,,,,,,,320-329,,
湖南,自治州,743,,,,,,,,,,
陕西,西安,29,290-291、918、920-929,,,,461-466、520-527,,,,,105-109、170-172
陕西,延安,911,911,,,,534,,,,,
陕西,榆林,912,292-296、912,,,,,,,,,102、120-129、145-149、173-174
陕西,商洛,914,298、914,,,,,,,,,
陕西,渭南,913,913,,,,528-532,,,,,103、130-139、160-164
陕西,安康,915,915,,,,,,,,,110-119、140-144、150-154
陕西,汉中,916,299、916,,,,535-536,,,,,101
陕西,宝鸡,917,297、917,,,,533,,,,,104
陕西,铜川,919,919,,,,539,,,,,
陕西,咸阳,29,910,,,,460、537-538,,,,,100、180-184
云南,昆明,871,871、880、884-885、889,,,,301、311、327-328,,,,420-425、710-719,
云南,版纳,691,690-691、693-699、881,,,,300、312,,,,,
云南,迪庆,887,887,,,,,,,,,
云南,大理,872,872,,,,302、322、325-326,,910,,720-729、736-739、774-779、789、847,
云南,曲靖,874,874,,,,303、310、314、317、323-324,,914-916,,740-749、837-839、842-844、870-879,
云南,文山,876,876,,,,,,913,,760-762,
云南,楚雄,878,878,,,,308、318,,,,780-787,
云南,丽江,888,888,,,,,,,,848,
云南,临沧,883,883,,,,316、320,,912,,830-836,
云南,昭通,870,870,,,,304、307、313、321,,917-919,,700-709、763-769、788、840-841,
云南,普洱,879,879,,,,306、309、319,,,,790-799、845,
云南,玉溪,877,877,,,,,,,,770-773,
云南,保山,875,875,,,,305、315、329,,,,750-759、846,
云南,红河,873,873,,,,,,911,,730-735,
云南,怒江,886,886,,,,,,,,849,
云南,德宏,692,692、882,,,,,,,,,
安徽,合肥,551,551、560、565、569、969,,,,240-244、251,510-519、600-604、650-659,,,,
安徽,池州,566,566,,,,266,660-664,649,,,
安徽,亳州,558,567、967,,,,267,670-679、690-697,547-549,,,
安徽,阜阳,558,558、568、968,,,,258,580-589、680-689,541-546、610-619,,,
安徽,宿州,557,557,,,,257、268-269,570-579,540、670-676,,,
安徽,安庆,556,556、966,,,,256、265,560-564,,,,
安徽,马鞍山,555,555,,,,249、255,550-556,,,,
安徽,淮南,554,554、964,,,,247-248、254,540-549,,,,
安徽,芜湖,553,553、963,,,,246、253,530-535,,,,
安徽,蚌埠,552,552、962、965,,,,245、252,520-524,,,,
安徽,滁州,550,550、960,,,,250,500-509、605-609,640-642,,,
安徽,巢湖,565,,,,,,,,,,
安徽,六安,564,564,,,,264,640-649、698-699,646-648、677-679,,,
安徽,宣城,563,563,,,,263,630-636,645,,,
安徽,铜陵,562,562,,,,262,620-624,644,,,
安徽,淮北,561,561、961,,,,261,610-614,643,,,
安徽,黄山,559,559,,,,259-260,590-594,,,,
广西,南宁,771,771,450-499、740-759,,,,260-269,200-239、360-399,637-639、710-719,,560-599
广西,防城港,770,770、780,,,,895-899,,,635-636、700-709,,
广西,河池,778,778、788,,700-729,,860-879,,,780-789、880-899,,
广西,钦州,777,777、787,,770-799,,880-894,,,770-779、870-879,,
广西,百色,776,776、786,,,,840-859,,,600-634、760-769、860-869,,
